route,401,401_1,401_2,401_3,401_4,401_5,401_6,401_7,401_8,401_9,401_10,401_11,401_12,401_13,401_14,401_15,401_16,401_17,401_18,401_19,401_20,401_21,401_22,401_23,401_24,401_25,401_26,401_27,401_28,401_29,401_30,401_31,401_32,401_33,401_34,401_35,401_36,401_37,401_38,401_39,401_40,401_41,401_42,401_43,401_44,401_45,401_46,401_47,401_48,401_49,401_50,401_51,401_52,401_53,route_id,402,402_1,402_2,402_3,402_4,402_5,402_6,402_7,402_8,402_9,402_10,402_11,402_12,402_13,402_14,402_15,402_16,402_17,402_18,402_19,402_20,402_21,402_22,402_23,402_24,402_25,402_26,402_27,402_28,402_29,404,404_1,404_2,404_3,404_4,404_5,404_6,404_7,404_8,404_9,404_10,404_11,404_12,404_13,404_14,404_15,404_16,404_17,404_18,404_19,404_20,404_21,404_22,404_23,404_24,404_25,404_26,404_27,404_28,404_29,404_30,404_31,404_32,404_33,404_34,404_35,404_36,405,405_1,405_2,405_3,405_4,405_ssuo,405_5,405_so,405_6,405_ssuo_1,405_7,405_so_1,405_8,405_ssuo_2,405_9,405_10,405_11,405_12,405_13,405_14,405_15,405_16,405_17,405_18,405_19,405_20,405_21,405_22,405_23,405_24,405_25,405_26,405_27,405_28,405_ssuo_3,405_29,405_so_2,405_30,405_ssuo_4,405_31,405_so_3,405_32,405_ssuo_5,405_33,405_so_4,405_34,405_ssuo_6,405_35,405_so_5,405_36,405_ssuo_7,405_37,405_suo,405_38,405_suo_1,405_39,405_suo_2,405_40,405_suo_3,405_41,405_suo_4,405_42,405_suo_5,405_43,405_suo_6,405_44,407,407_1,407_2,407_3,407_4,407_5,407_6,407_7,407_8,407_9,407_10,407_11,407_12,407_13,407_14,407_15,407_16,407_17,407_18,407_19,407_20,407_21,407_22,407_23,407_24,407_25,407_26,407_27,407_28,407_29,409,409_1,409_2,409_3,409_so,409_4,409_5,409_6,409_7,409_8,409_9,409_10,409_11,409_12,409_13,409_14,409_15,409_16,409_17,409_18,409_19,409_20,409_21,409_22,409_23,409_24,409_25,409_26,409_suo,409_27,409_28,409_29,409_suo_1,409_30,409_31,409_32,409_suo_2,409_33,409_34,409_35,409_suo_3,409_36,409_37,409_38,409_suo_4,409_39,409_40,409_41,409_suo_5,409_42,409_43,409_44,409_suo_6,409_45,409_46,409_47,409_suo_7,409_48,409_49,409_50,409_suo_8,409_51,409_52,409_53,409_suo_9,409_54,409_55,409_56,409_suo_10,409_57,409_58,409_59,409_suo_11,409_60,409_61,409_62,409_suo_12,409_63,409_64,409_65,409_suo_13,409_66,409_67,409_fo,409_tho,409_so_1,409_suo_14,409_fo_1,409_68,409_69,409_70,409_suo_15,409_71,409_72,409_73,409_suo_16,409_74,409_75,409_76,409_77,409_78,409_79,409_80,409_81,409_82,409_83,409_84,409_85,409_86,409_87,409_88,409_89,409_90,409_91,409_92,409_93
Francis St (Opp Abbey Church),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:46,07:06,07:29,07:49,08:09,08:12,08:37,08:29,08:57,08:52,09:17,09:09,09:31,09:32,09:56,10:12,10:34,10:52,11:14,11:32,11:54,12:13,12:35,12:53,13:15,13:33,13:55,14:13,14:35,14:53,15:15,15:33,15:55,16:10,16:13,16:33,16:35,16:53,16:53,17:13,17:15,17:33,17:33,17:53,17:55,18:13,18:13,18:29,18:35,18:49,18:53,19:11,19:32,19:51,20:12,20:31,20:52,21:11,21:32,21:51,22:12,22:31,22:52,23:11,23:32,23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyre Square North (Stop No 2)ARR. DEP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48 06:50,07:08 07:10,07:31 07:33,07:51 07:53,08:11 08:13,08:13 08:18,08:38 08:39,08:31 08:36,08:58 08:59,08:53 08:58,09:18 09:19,09:11 09:16,09:32 09:33,09:33 09:38,09:57 09:58,10:13 10:18,10:36 10:37,10:53 10:58,11:16 11:17,11:33 11:38,11:56 11:57,12:14 12:19,12:37 12:38,12:54 12:59,13:17 13:18,13:34 13:39,13:57 13:58,14:14 14:19,14:37 14:38,14:54 14:59,15:17 15:18,15:34 15:39,15:57 15:58,16:12 16:13,16:14 16:19,16:35 16:36,16:36 16:41,16:55 16:56,16:54 16:59,17:15 17:16,17:16 17:21,17:35 17:36,17:34 17:39,17:55 17:56,17:56 18:01,18:15 18:16,18:14 18:19,18:31 18:32,18:36 18:41,18:51 18:52,18:54 18:59,19:13 19:15,19:33 19:38,19:53 19:55,20:13 20:18,20:33 20:35,20:53 20:58,21:13 21:15,21:33 21:38,21:53 21:55,22:13 22:18,22:33 22:35,22:53 22:58,23:13 23:15,23:33 23:33 D,23:53 23:53 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Hill (Fahys Pub),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:51,07:11,07:34,07:54,08:14,08:19,08:40,08:38,09:00,08:59,09:20,09:18,09:35,09:39,10:00,10:19,10:38,10:59,11:18,11:39,11:58,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:15,16:20,16:38,16:42,16:58,17:00,17:18,17:22,17:38,17:40,17:58,18:02,18:18,18:20,18:34,18:42,18:54,19:00,19:16,19:39,19:56,20:19,20:36,20:59,21:16,21:39,21:56,22:19,22:36,22:59,23:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Opp Tonerys Pub),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:51,07:11,07:35,07:55,08:15,08:19,08:41,08:38,09:01,08:59,09:21,09:18,09:35,09:39,10:00,10:19,10:39,10:59,11:19,11:39,11:59,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:16,16:21,16:38,16:43,16:58,17:01,17:18,17:23,17:38,17:41,17:58,18:03,18:18,18:21,18:34,18:43,18:54,19:01,19:16,19:39,19:56,20:19,20:36,20:59,21:16,21:39,21:56,22:19,22:36,22:59,23:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Liam Mellows Tce),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52,07:12,07:35,07:55,08:15,08:20,08:42,08:38,09:02,09:00,09:22,09:18,09:36,09:40,10:01,10:20,10:39,11:00,11:19,11:40,11:59,12:21,12:41,13:01,13:21,13:41,14:01,14:21,14:41,15:01,15:21,15:41,16:01,16:16,16:21,16:39,16:43,16:59,17:01,17:19,17:23,17:39,17:41,17:59,18:03,18:19,18:21,18:35,18:43,18:55,19:01,19:17,19:40,19:57,20:20,20:37,21:00,21:17,21:40,21:57,22:20,22:37,23:00,23:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohermore (Spar Filling Station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:53,07:13,07:36,07:56,08:16,08:21,08:43,08:39,09:03,09:01,09:23,09:19,09:37,09:41,10:02,10:21,10:40,11:01,11:20,11:41,12:00,12:22,12:43,13:02,13:23,13:42,14:03,14:22,14:43,15:02,15:23,15:42,16:03,16:18,16:22,16:41,16:44,17:01,17:02,17:21,17:24,17:41,17:42,18:01,18:04,18:21,18:22,18:36,18:44,18:56,19:02,19:18,19:41,19:58,20:21,20:38,21:01,21:18,21:41,21:58,22:21,22:38,23:01,23:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuam Rd (Riverside Estate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:54,07:14,07:39,07:59,08:19,08:22,08:46,08:41,09:06,09:02,09:26,09:21,09:39,09:42,10:04,10:22,10:43,11:02,11:23,11:42,12:03,12:24,12:46,13:04,13:26,13:44,14:06,14:24,14:46,15:04,15:26,15:44,16:06,16:21,16:24,16:46,16:46,17:06,17:04,17:26,17:26,17:46,17:44,18:06,18:06,18:26,18:24,18:38,18:46,18:58,19:04,19:19,19:43,19:59,20:23,20:39,21:03,21:19,21:43,21:59,22:23,22:39,23:03,23:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuam Rd (Opp Mervue Ind Est),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:55,07:15,07:40,08:00,08:20,08:23,08:47,08:41,09:07,09:03,09:27,09:21,09:40,09:43,10:05,10:23,10:44,11:03,11:24,11:43,12:04,12:25,12:47,13:05,13:27,13:45,14:07,14:25,14:47,15:05,15:27,15:45,16:07,16:22,16:25,16:48,16:47,17:08,17:05,17:28,17:27,17:48,17:45,18:08,18:07,18:28,18:25,18:39,18:47,18:59,19:05,19:20,19:44,20:00,20:24,20:40,21:04,21:20,21:44,22:00,22:24,22:40,23:04,23:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuam Rd (Trappers Inn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:56,07:16,07:40,08:00,08:20,08:24,08:48,08:42,09:08,09:04,09:28,09:22,09:40,09:44,10:05,10:24,10:44,11:04,11:24,11:44,12:04,12:26,12:48,13:06,13:28,13:46,14:08,14:26,14:48,15:06,15:28,15:46,16:08,16:23,16:26,16:49,16:48,17:09,17:06,17:29,17:28,17:49,17:46,18:09,18:08,18:29,18:26,18:40,18:48,19:00,19:06,19:21,19:44,20:01,20:24,20:41,21:04,21:21,21:44,22:01,22:24,22:41,23:04,23:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connolly Ave (Pearse Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:57,07:17,07:42,08:02,08:22,08:25,08:49,08:43,09:09,09:05,09:29,09:23,09:42,09:45,10:07,10:25,10:46,11:05,11:26,11:45,12:06,12:27,12:49,13:07,13:29,13:47,14:09,14:27,14:49,15:07,15:29,15:47,16:09,16:24,16:27,16:51,16:49,17:11,17:07,17:31,17:29,17:51,17:47,18:11,18:09,18:31,18:27,18:41,18:49,19:01,19:07,19:22,19:46,20:02,20:26,20:42,21:06,21:22,21:46,22:02,22:26,22:42,23:06,23:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connolly Ave (Opp Fahys Field),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:58,07:18,07:42,08:02,08:22,08:26,08:50,08:44,09:10,09:06,09:30,09:24,09:43,09:46,10:08,10:26,10:46,11:06,11:26,11:46,12:06,12:28,12:50,13:08,13:30,13:48,14:10,14:28,14:50,15:08,15:30,15:48,16:10,16:25,16:28,16:52,16:50,17:12,17:08,17:32,17:30,17:52,17:48,18:12,18:10,18:32,18:28,18:42,18:50,19:02,19:08,19:23,19:47,20:03,20:27,20:43,21:07,21:23,21:47,22:03,22:27,22:43,23:07,23:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St James Road (Mervue Church),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:59,07:19,07:43,08:03,08:23,08:27,08:51,08:45,09:11,09:07,09:31,09:25,09:44,09:47,10:09,10:27,10:47,11:07,11:27,11:47,12:07,12:29,12:51,13:09,13:31,13:49,14:11,14:29,14:51,15:09,15:31,15:49,16:11,16:26,16:29,16:53,16:51,17:13,17:09,17:33,17:31,17:53,17:49,18:13,18:11,18:33,18:29,18:44,18:51,19:04,19:09,19:24,19:48,20:04,20:28,20:44,21:08,21:24,21:48,22:04,22:28,22:44,23:08,23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St James Rd (Bayview Heights),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,07:20,07:44,08:04,08:24,08:28,08:52,08:46,09:12,09:08,09:32,09:26,09:45,09:48,10:10,10:28,10:48,11:08,11:28,11:48,12:08,12:30,12:52,13:10,13:32,13:50,14:12,14:30,14:52,15:10,15:32,15:50,16:12,16:27,16:30,16:54,16:52,17:14,17:10,17:34,17:32,17:54,17:50,18:14,18:12,18:34,18:30,18:45,18:52,19:05,19:10,19:25,19:49,20:05,20:29,20:45,21:09,21:25,21:49,22:05,22:29,22:45,23:09,23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybane Rd (St James Rd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,07:20,07:45,08:05,08:25,08:29,08:53,08:47,09:13,09:09,09:33,09:27,09:46,09:49,10:11,10:29,10:49,11:09,11:29,11:49,12:09,12:31,12:53,13:11,13:33,13:51,14:13,14:31,14:53,15:11,15:33,15:51,16:13,16:28,16:31,16:55,16:52,17:15,17:11,17:35,17:32,17:55,17:51,18:15,18:12,18:35,18:31,18:45,18:52,19:05,19:11,19:25,19:49,20:05,20:29,20:45,21:09,21:25,21:49,22:05,22:29,22:45,23:09,23:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybane Rd (Shopping Centre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:01,07:21,07:46,08:06,08:26,08:30,08:54,08:47,09:14,09:10,09:34,09:27,09:47,09:50,10:12,10:30,10:50,11:10,11:30,11:50,12:10,12:32,12:54,13:12,13:34,13:52,14:14,14:32,14:54,15:12,15:34,15:52,16:14,16:29,16:32,16:56,16:53,17:16,17:12,17:36,17:33,17:56,17:52,18:16,18:13,18:36,18:32,18:46,18:53,19:06,19:12,19:26,19:50,20:06,20:30,20:46,21:10,21:26,21:50,22:06,22:30,22:46,23:10,23:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybane Ind Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03,07:23,07:48,08:08,08:28,08:32,09:00,08:49,09:20,09:12,09:40,09:29,09:49,09:52,10:14,10:32,10:52,11:12,11:32,11:52,12:12,12:34,12:55,13:14,13:35,13:54,14:15,14:34,14:55,15:14,15:35,15:54,16:15,16:30,16:34,16:58,16:55,17:18,17:14,17:38,17:35,17:58,17:54,18:18,18:15,18:38,18:34,18:48,18:55,19:08,19:14,19:28,19:52,20:08,20:32,20:48,21:12,21:28,21:52,22:08,22:32,22:48,23:12,23:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballybane Ind Est.(Hewlett Packard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:07 D,07:27 D,07:52 D,08:12 D,08:32 D,08:33 D,09:04 D,08:52 D,09:24 D,09:13 D,09:44 D,09:32 D,09:54 D,09:53 D,10:19 D,10:33 D,10:56 D,11:13 D,11:36 D,11:53 D,12:16 D,12:35 D,12:59 D,13:15 D,13:39 D,13:55 D,14:19 D,14:35 D,14:59 D,15:15 D,15:39 D,15:55 D,16:19 D,16:34 D,16:35 D,17:03 D,16:58 D,17:23 D,17:15 D,17:43 D,17:38 D,18:03 D,17:55 D,18:23 D,18:18 D,18:43 D,18:35 D,18:53 D,18:58 D,19:13 D,19:15 D,19:32 D,19:53 D,20:12 D,20:33 D,20:52 D,21:13 D,21:32 D,21:53 D,22:12 D,22:33 D,22:52 D,23:13 D,23:32 D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyre Square East (Stop No 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:45 P,07:15 P,07:45 P,08:15 P,08:45 P,09:15 P,09:45 P,10:15 P,10:45 P,11:15 P,11:45 P,12:15 P,12:45 P,13:15 P,13:45 P,14:15 P,14:45 P,15:15 P,15:45 P,16:15 P,16:45 P,17:15 P,17:45 P,18:15 P,18:45 P,19:15 P,20:15 P,21:15 P,22:15 P,23:15 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Street (Abbey Church),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:46,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:47,13:16,13:47,14:16,14:47,15:16,15:47,16:16,16:47,17:16,17:47,18:16,18:47,19:16,20:16,21:16,22:16,23:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headford Rd (Opp Woodquay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:47,07:18,07:48,08:17,08:48,09:17,09:48,10:17,10:48,11:17,11:48,12:17,12:50,13:18,13:50,14:18,14:50,15:18,15:50,16:18,16:51,17:20,17:51,18:20,18:49,19:18,20:18,21:18,22:18,23:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headford Rd (Galway Retail Park),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:48,07:20,07:50,08:18,08:50,09:18,09:50,10:18,10:50,11:18,11:50,12:18,12:52,13:21,13:52,14:21,14:52,15:21,15:52,16:21,16:55,17:23,17:55,18:23,18:51,19:19,20:19,21:19,22:19,23:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headford Rd (Opp Dunnes Stores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:50,07:22,07:52,08:20,08:52,09:20,09:52,10:20,10:52,11:20,11:52,12:20,12:57,13:24,13:57,14:24,14:57,15:24,15:57,16:24,17:00,17:27,18:00,18:27,18:55,19:21,20:21,21:21,22:21,23:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coolough Rd (Opp Menlo Park Hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:51,07:23,07:53,08:21,08:53,09:21,09:53,10:21,10:53,11:21,11:53,12:21,12:58,13:25,13:58,14:25,14:58,15:25,15:58,16:25,17:01,17:28,18:01,18:28,18:57,19:22,20:22,21:22,22:22,23:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
